racetrack,country,continent,length,length_type,track_type,race_name,organizer,race_rank,race_type,race_special,latitude,longitude
Belmont,Australia,Oceania,2200,Medium,Turf,Quayclean Handicap,ARB,4,Local,,-31.9436,115.891
Belmont,Australia,Oceania,2200,Medium,Turf,Bisley Workwear Handicap,ARB,4,Local,,-31.9436,115.891
Bendigo,Australia,Oceania,2400,Long,Turf,Bendigo Cup,ARB,3,G3,,-36.725136,144.317276
Bendigo,Australia,Oceania,1600,Mile,Turf,Ladbrokes Golden Mile,ARB,4,Local,,-36.725136,144.317276
Bendigo,Australia,Oceania,1400,Sprint,Turf,Bendigo Gold Bracelet,ARB,4,Local,,-36.725136,144.317276
Bendigo,Australia,Oceania,1400,Sprint,Turf,SEN Bendigo Guineas,ARB,4,Local,,-36.725136,144.317276
Bendigo,Australia,Oceania,2400,Long,Turf,Turners Crossing Handicap,ARB,4,Local,,-36.725136,144.317276
Bendigo,Australia,Oceania,2200,Medium,Turf,Marong Cup,ARB,4,Local,,-36.725136,144.317276
Bendigo,Australia,Oceania,1600,Mile,Turf,Elmore Cup,ARB,4,Local,,-36.725136,144.317276
Bendigo,Australia,Oceania,900,Sprint,Turf,ARB Bendigo 900m Turf,ARB,0,Non-Graded,,-36.725136,144.317276
Bendigo,Australia,Oceania,1000,Sprint,Turf,ARB Bendigo 1000m Turf,ARB,0,Non-Graded,,-36.725136,144.317276
Bendigo,Australia,Oceania,1100,Sprint,Turf,ARB Bendigo 1100m Turf,ARB,0,Non-Graded,,-36.725136,144.317276
Bendigo,Australia,Oceania,1300,Sprint,Turf,ARB Bendigo 1300m Turf,ARB,0,Non-Graded,,-36.725136,144.317276
Bendigo,Australia,Oceania,1500,Mile,Turf,ARB Bendigo 1500m Turf,ARB,0,Non-Graded,,-36.725136,144.317276
Canberra,Australia,Oceania,1200,Sprint,Turf,Black Opal Stakes,ARB,3,G3,,-35.232142,149.140108
Canberra,Australia,Oceania,1080,Sprint,Synthetic,TAB Federal Maiden (Acton),ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1206,Sprint,Synthetic,TAB Federal Maiden (Acton),ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1280,Sprint,Synthetic,TAB Federal Maiden (Acton),ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1080,Sprint,Synthetic,Hops & Hooves Festival Plate (Acton),ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1900,Medium,Synthetic,Polytrack Stayers Cup (Acton),ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1206,Sprint,Synthetic,Glen Mia ACT Saddlery Sprinters Cup (Acton),ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1300,Sprint,Turf,John McGrath Auto Group Handicap,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1600,Mile,Turf,Seears Workwear Plate,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,2000,Medium,Turf,Thoroughbred Park Event Centre Handicap,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1400,Sprint,Turf,Canberra Community Chest,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1000,Sprint,Turf,Aquis Park – Gold Coast Turf Club Clan O’Sullivan,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,2000,Medium,Turf,Canberra Cup,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1200,Sprint,Turf,National Sprint,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1400,Sprint,Turf,Canberra Guineas,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1000,Sprint,Turf,Camarena Handicap,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1750,Mile,Synthetic,ARB Canberra 1750m Synthetic,ARB,0,Non-Graded,,-35.232142,149.140108
Canberra,Australia,Oceania,1000,Sprint,Turf,Black Opal Preview,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,2000,Medium,Turf,Canberra Cup Preview,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,2000,Medium,Turf,Canberra Cup,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1000,Sprint,Turf,Capital Trophies & Sportswear Clan O'Sullivan Handicap,ARB,4,Local,,-35.232142,149.140108
Canberra,Australia,Oceania,1600,Mile,Turf,Tuggeranong Cup,ARB,4,Local,,-35.232142,149.140108
Caulfield,Australia,Oceania,1200,Sprint,Turf,Blue Diamond Stakes,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,C.F. Orr Stakes,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,2400,Long,Turf,Caulfield Cup,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,Caulfield Guineas,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Might and Power Stakes,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Futurity Stakes,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Memrise Stakes,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Oakleigh Plate,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Sir Rupert Clarke Stakes,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,The Thousand Guineas,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,Toorak Handicap,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1800,Mile,Turf,Underwood Stakes,ARB,1,G1,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Angus Armanasco Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Autumn Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Blue Diamond Prelude Fillies,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1800,Mile,Turf,Caulfield Autumn Classic,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Caulfield Sprint,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,2400,Long,Turf,Herbert Power Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,P B Lawrence Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1800,Mile,Turf,Peter Young Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Rubiton Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Schillaci Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Thousand Guineas Prelude,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Tristarc Stakes,ARB,2,G2,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Bletchingly Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Blue Diamond Prelude C&G,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1000,Sprint,Turf,Blue Diamond Preview Fillies,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Blue Sappire Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,MRC Foundation Cup,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Caulfield Classic,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Caulfield Guineas Prelude,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1000,Sprint,Turf,Chairman's Stakes (MRC),ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Coongy Handicap,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Easter Cup,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1800,Mile,Turf,Eclipse Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Ethereal Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Geoffrey Bellmaine Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,HDF McNeil Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,How Now Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Peter Le Grand Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1300,Sprint,Turf,Kevin Heffernan Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,Ladies Day Vase,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Manfred Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Mannerism Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Moonga Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Naturalism Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Northwood Plume Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Quezette Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Sir John Monash Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,The Heath 1100,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Thoroughbred Club Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Vain Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Victoria Handicap,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,W W Cockram Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Zeditave Stakes,ARB,3,G3,,-37.881,145.04
Caulfield,Australia,Oceania,1000,Sprint,Turf,W.J. Adams Stakes,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Quayclean Manfred Stakes,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Evergreen Turf John Dilon Stakes,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Sportsbet Bel Esprit Stakes,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,VOBIS Silver Three-Years-Old Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Whispering Angel Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Lamaro's Hotel Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1000,Sprint,Turf,Tour D'horse Sprint,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,Stow Storage Gothic Stakes,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Manhari Alinghi Stakes,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1700,Mile,Turf,A Caulfield Kind of Summer Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,A Caulfield Kind of Summer Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Thank You Lynden Tymms Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1400,Sprint,Turf,Remembering Ted Ryan Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,The Mary Bell Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Vale Durston Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1440,Mile,Turf,BM100 Handicap,ARB,4,Local,Caulfield BM100 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,BM100 Handicap,ARB,4,Local,Caulfield BM100 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,BM84 Handicap,ARB,4,Local,Caulfield BM84 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,BM84 Handicap,ARB,4,Local,Caulfield BM84 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,BM84 Handicap,ARB,4,Local,Caulfield BM84 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,BM78 Handicap,ARB,4,Local,Caulfield BM78 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,BM78 Handicap,ARB,4,Local,Caulfield BM78 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,BM78 Handicap,ARB,4,Local,Caulfield BM78 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,BM78 Handicap,ARB,4,Local,Caulfield BM78 Handicap,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,Sportsbet More Places Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1000,Sprint,Turf,2YO Open Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1100,Sprint,Turf,Sportsbet Fixed Odds Exotics Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,2000,Medium,Turf,Lamaro's After The Last Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1600,Mile,Turf,Tobin Brothers Celebrating Lives Handicap,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,VOBIS Platinum Showdown,ARB,4,Local,,-37.881,145.04
Caulfield,Australia,Oceania,1200,Sprint,Turf,R.M. Williams Testa Rossa Stakes,ARB,4,Local,,-37.881,145.04
Moonee Valley,Australia,Oceania,1200,Sprint,Turf,William Reid Stakes,ARB,1,G1,,-37.7654,144.931
Moonee Valley,Australia,Oceania,1000,Sprint,Turf,A J Moir Stakes,ARB,2,G2,,-37.7654,144.931
Moonee Valley,Australia,Oceania,1200,Sprint,Turf,Manikato Stakes,ARB,3,G3,,-37.7654,144.931
Moonee Valley,Australia,Oceania,2040,Medium,Turf,Alister Clark Stakes,ARB,2,G2,,-37.7654,144.931
Moonee Valley,Australia,Oceania,1600,Mile,Turf,Sunline Stakes,ARB,2,G2,,-37.7654,144.931
